TransactionID,CustomerName,Date,Items,Original_Items,Cleaned_Items,Sorted_Items,cleaned_items
11,John Payne,2025-03-23,"Butter,Shampoo,Toothpaste","['Butter', 'Shampoo', 'Toothpaste']","['butter', 'shampoo', 'toothpaste']","['butter', 'shampoo', 'toothpaste']",butter; shampoo; toothpaste
12,Alexa Gordon,2025-06-03,"Flour,Eggs,Butter,Potatoes,Tomatoes,Carrots","['Flour', 'Eggs', 'Butter', 'Potatoes', 'Tomatoes', 'Carrots']","['flour', 'eggs', 'butter', 'potatoes', 'tomatoes', 'carrots']","['butter', 'carrots', 'eggs', 'flour', 'potatoes', 'tomatoes']",butter; carrots; eggs; flour; potatoes; tomatoes
13,Bryan Roach,2024-11-28,"Pasta,Potatoes,Toothpaste,Butter,Flour","['Pasta', 'Potatoes', 'Toothpaste', 'Butter', 'Flour']","['pasta', 'potatoes', 'toothpaste', 'butter', 'flour']","['butter', 'flour', 'pasta', 'potatoes', 'toothpaste']",butter; flour; pasta; potatoes; toothpaste
14,Angelica Martinez,2025-08-30,"Oil,Butter,Onions,Pasta","['Oil', 'Butter', 'Onions', 'Pasta']","['oil', 'butter', 'onions', 'pasta']","['butter', 'oil', 'onions', 'pasta']",butter; oil; onions; pasta
15,Michael Morales,2025-11-12,"Fish,Sugar,Salt,Pasta","['Fish', 'Sugar', 'Salt', 'Pasta']","['fish', 'sugar', 'salt', 'pasta']","['fish', 'pasta', 'salt', 'sugar']",fish; pasta; salt; sugar
16,Angela White,2025-01-11,"Toothpaste,Fish,Flour,Pasta","['Toothpaste', 'Fish', 'Flour', 'Pasta']","['toothpaste', 'fish', 'flour', 'pasta']","['fish', 'flour', 'pasta', 'toothpaste']",fish; flour; pasta; toothpaste
17,Lauren Johnson,2025-05-09,"Bread,Pasta,Tea,Rice","['Bread', 'Pasta', 'Tea', 'Rice']","['bread', 'pasta', 'tea', 'rice']","['bread', 'pasta', 'rice', 'tea']",bread; pasta; rice; tea
18,Elizabeth Clark,2025-10-22,"Tomatoes,Oranges,Yogurt,Apples","['Tomatoes', 'Oranges', 'Yogurt', 'Apples']","['tomatoes', 'oranges', 'yogurt', 'apples']","['apples', 'oranges', 'tomatoes', 'yogurt']",apples; oranges; tomatoes; yogurt
19,Gregory Adkins,2025-01-20,"Oil,Rice,Chicken,Fish","['Oil', 'Rice', 'Chicken', 'Fish']","['oil', 'rice', 'chicken', 'fish']","['chicken', 'fish', 'oil', 'rice']",chicken; fish; oil; rice
20,Mark Lee,2025-03-29,"Cheese,Grapes,Eggs,Milk,Sugar,Bread,Apples","['Cheese', 'Grapes', 'Eggs', 'Milk', 'Sugar', 'Bread', 'Apples']","['cheese', 'grapes', 'eggs', 'milk', 'sugar', 'bread', 'apples']","['apples', 'bread', 'cheese', 'eggs', 'grapes', 'milk', 'sugar']",apples; bread; cheese; eggs; grapes; milk; sugar
21,Joseph Pena,2025-05-25,"Toothpaste,Yogurt","['Toothpaste', 'Yogurt']","['toothpaste', 'yogurt']","['toothpaste', 'yogurt']",toothpaste; yogurt
22,Timothy Smith,2025-07-14,"Chicken,Potatoes,Carrots,Yogurt,Shampoo,Tomatoes,Onions","['Chicken', 'Potatoes', 'Carrots', 'Yogurt', 'Shampoo', 'Tomatoes', 'Onions']","['chicken', 'potatoes', 'carrots', 'yogurt', 'shampoo', 'tomatoes', 'onions']","['carrots', 'chicken', 'onions', 'potatoes', 'shampoo', 'tomatoes', 'yogurt']",carrots; chicken; onions; potatoes; shampoo; tomatoes; yogurt
23,Ethan Odom,2025-03-28,"Toothpaste,Butter,Pasta","['Toothpaste', 'Butter', 'Pasta']","['toothpaste', 'butter', 'pasta']","['butter', 'pasta', 'toothpaste']",butter; pasta; toothpaste
24,Carol Williams,2025-03-02,"Milk,Salt,Oil,Tomatoes,Juice,Flour,Grapes","['Milk', 'Salt', 'Oil', 'Tomatoes', 'Juice', 'Flour', 'Grapes']","['milk', 'salt', 'oil', 'tomatoes', 'juice', 'flour', 'grapes']","['flour', 'grapes', 'juice', 'milk', 'oil', 'salt', 'tomatoes']",flour; grapes; juice; milk; oil; salt; tomatoes
25,Leroy Williams,2025-03-06,"Pasta,Onions,Soap,Potatoes,Sugar","['Pasta', 'Onions', 'Soap', 'Potatoes', 'Sugar']","['pasta', 'onions', 'soap', 'potatoes', 'sugar']","['onions', 'pasta', 'potatoes', 'soap', 'sugar']",onions; pasta; potatoes; soap; sugar
26,Brian Scott,2025-11-16,"Onions,Bananas,Potatoes,Eggs,Butter,Salt,Juice","['Onions', 'Bananas', 'Potatoes', 'Eggs', 'Butter', 'Salt', 'Juice']","['onions', 'bananas', 'potatoes', 'eggs', 'butter', 'salt', 'juice']","['bananas', 'butter', 'eggs', 'juice', 'onions', 'potatoes', 'salt']",bananas; butter; eggs; juice; onions; potatoes; salt
27,Patricia Terry,2025-09-08,"Oranges,Oil,Coffee,Soap,Bread,Bananas","['Oranges', 'Oil', 'Coffee', 'Soap', 'Bread', 'Bananas']","['oranges', 'oil', 'coffee', 'soap', 'bread', 'bananas']","['bananas', 'bread', 'coffee', 'oil', 'oranges', 'soap']",bananas; bread; coffee; oil; oranges; soap
28,Sarah Green,2024-12-25,"Sugar,Chicken,Soap","['Sugar', 'Chicken', 'Soap']","['sugar', 'chicken', 'soap']","['chicken', 'soap', 'sugar']",chicken; soap; sugar
29,Jason Martinez,2025-01-01,"Pasta,Shampoo","['Pasta', 'Shampoo']","['pasta', 'shampoo']","['pasta', 'shampoo']",pasta; shampoo
30,Jason Miranda,2025-09-03,"Onions,Salt,Eggs,Potatoes","['Onions', 'Salt', 'Eggs', 'Potatoes']","['onions', 'salt', 'eggs', 'potatoes']","['eggs', 'onions', 'potatoes', 'salt']",eggs; onions; potatoes; salt
31,Mrs. Kathleen Conley,2025-01-01,"Shampoo,Carrots,Oil","['Shampoo', 'Carrots', 'Oil']","['shampoo', 'carrots', 'oil']","['carrots', 'oil', 'shampoo']",carrots; oil; shampoo
32,Destiny Nichols,2025-01-13,"Milk,Grapes,Carrots","['Milk', 'Grapes', 'Carrots']","['milk', 'grapes', 'carrots']","['carrots', 'grapes', 'milk']",carrots; grapes; milk
33,Natalie Lee,2025-01-16,"Fish,Butter","['Fish', 'Butter']","['fish', 'butter']","['butter', 'fish']",butter; fish
34,Pamela Bennett,2025-10-21,"Eggs,Soap,Potatoes,Flour","['Eggs', 'Soap', 'Potatoes', 'Flour']","['eggs', 'soap', 'potatoes', 'flour']","['eggs', 'flour', 'potatoes', 'soap']",eggs; flour; potatoes; soap
35,Carla Young,2025-01-26,"Beef,Yogurt","['Beef', 'Yogurt']","['beef', 'yogurt']","['beef', 'yogurt']",beef; yogurt
36,Marcus Moore,2025-08-04,"Fish,Shampoo","['Fish', 'Shampoo']","['fish', 'shampoo']","['fish', 'shampoo']",fish; shampoo
37,Evan Martinez,2024-12-16,"Grapes,Pasta","['Grapes', 'Pasta']","['grapes', 'pasta']","['grapes', 'pasta']",grapes; pasta
38,Aaron Hartman,2025-08-01,"Soap,Flour,Grapes,Bananas,Cheese","['Soap', 'Flour', 'Grapes', 'Bananas', 'Cheese']","['soap', 'flour', 'grapes', 'bananas', 'cheese']","['bananas', 'cheese', 'flour', 'grapes', 'soap']",bananas; cheese; flour; grapes; soap
39,Mrs. Alexandra Roberts,2025-03-28,"Onions,Soap,Coffee,Flour","['Onions', 'Soap', 'Coffee', 'Flour']","['onions', 'soap', 'coffee', 'flour']","['coffee', 'flour', 'onions', 'soap']",coffee; flour; onions; soap
40,Victoria Krueger,2025-07-30,"Grapes,Onions,Pasta,Yogurt","['Grapes', 'Onions', 'Pasta', 'Yogurt']","['grapes', 'onions', 'pasta', 'yogurt']","['grapes', 'onions', 'pasta', 'yogurt']",grapes; onions; pasta; yogurt
41,Sydney Sweeney,2025-06-02,"Oil,Cheese,Milk,Beef,Carrots,Coffee","['Oil', 'Cheese', 'Milk', 'Beef', 'Carrots', 'Coffee']","['oil', 'cheese', 'milk', 'beef', 'carrots', 'coffee']","['beef', 'carrots', 'cheese', 'coffee', 'milk', 'oil']",beef; carrots; cheese; coffee; milk; oil
42,Dawn Larson,2025-09-30,"Cheese,Toothpaste,Cereal,Apples,Juice,Soap","['Cheese', 'Toothpaste', 'Cereal', 'Apples', 'Juice', 'Soap']","['cheese', 'toothpaste', 'cereal', 'apples', 'juice', 'soap']","['apples', 'cereal', 'cheese', 'juice', 'soap', 'toothpaste']",apples; cereal; cheese; juice; soap; toothpaste
43,David Harrell,2025-01-28,"Bread,Fish,Cheese","['Bread', 'Fish', 'Cheese']","['bread', 'fish', 'cheese']","['bread', 'cheese', 'fish']",bread; cheese; fish
44,Gabriel Williams,2025-10-17,"Oranges,Soap,Bananas,Beef,Shampoo,Chicken,Yogurt","['Oranges', 'Soap', 'Bananas', 'Beef', 'Shampoo', 'Chicken', 'Yogurt']","['oranges', 'soap', 'bananas', 'beef', 'shampoo', 'chicken', 'yogurt']","['bananas', 'beef', 'chicken', 'oranges', 'shampoo', 'soap', 'yogurt']",bananas; beef; chicken; oranges; shampoo; soap; yogurt
45,Andrew Hawkins,2025-09-06,"Flour,Potatoes,Butter,Juice","['Flour', 'Potatoes', 'Butter', 'Juice']","['flour', 'potatoes', 'butter', 'juice']","['butter', 'flour', 'juice', 'potatoes']",butter; flour; juice; potatoes
46,Megan Bass,2025-06-19,"Juice,Cheese,Onions,Rice,Oranges","['Juice', 'Cheese', 'Onions', 'Rice', 'Oranges']","['juice', 'cheese', 'onions', 'rice', 'oranges']","['cheese', 'juice', 'onions', 'oranges', 'rice']",cheese; juice; onions; oranges; rice
47,Aaron Blackwell,2025-09-22,"Chicken,Tea,Shampoo","['Chicken', 'Tea', 'Shampoo']","['chicken', 'tea', 'shampoo']","['chicken', 'shampoo', 'tea']",chicken; shampoo; tea
48,Paul Carrillo,2025-06-12,"Yogurt,Sugar","['Yogurt', 'Sugar']","['yogurt', 'sugar']","['sugar', 'yogurt']",sugar; yogurt
49,Jennifer Williams,2024-11-23,"Onions,Potatoes,Tea","['Onions', 'Potatoes', 'Tea']","['onions', 'potatoes', 'tea']","['onions', 'potatoes', 'tea']",onions; potatoes; tea
50,Shawn Michael,2024-12-22,"Juice,Toothpaste,Apples,Coffee","['Juice', 'Toothpaste', 'Apples', 'Coffee']","['juice', 'toothpaste', 'apples', 'coffee']","['apples', 'coffee', 'juice', 'toothpaste']",apples; coffee; juice; toothpaste
51,Anne Beard,2025-03-24,"Salt,Chicken,Coffee,Cheese","['Salt', 'Chicken', 'Coffee', 'Cheese']","['salt', 'chicken', 'coffee', 'cheese']","['cheese', 'chicken', 'coffee', 'salt']",cheese; chicken; coffee; salt
52,Daniel Fitzgerald,2025-03-18,"Sugar,Potatoes,Coffee,Oranges","['Sugar', 'Potatoes', 'Coffee', 'Oranges']","['sugar', 'potatoes', 'coffee', 'oranges']","['coffee', 'oranges', 'potatoes', 'sugar']",coffee; oranges; potatoes; sugar
53,David Rivera,2024-12-28,"Milk,Bread,Tomatoes","['Milk', 'Bread', 'Tomatoes']","['milk', 'bread', 'tomatoes']","['bread', 'milk', 'tomatoes']",bread; milk; tomatoes
54,Anthony White,2025-05-17,"Cereal,Fish,Cheese,Coffee,Apples","['Cereal', 'Fish', 'Cheese', 'Coffee', 'Apples']","['cereal', 'fish', 'cheese', 'coffee', 'apples']","['apples', 'cereal', 'cheese', 'coffee', 'fish']",apples; cereal; cheese; coffee; fish
55,Krista Hamilton,2025-02-10,"Carrots,Rice,Tea,Shampoo,Soap,Flour","['Carrots', 'Rice', 'Tea', 'Shampoo', 'Soap', 'Flour']","['carrots', 'rice', 'tea', 'shampoo', 'soap', 'flour']","['carrots', 'flour', 'rice', 'shampoo', 'soap', 'tea']",carrots; flour; rice; shampoo; soap; tea
56,Jennifer Bass,2025-05-03,"Butter,Tomatoes","['Butter', 'Tomatoes']","['butter', 'tomatoes']","['butter', 'tomatoes']",butter; tomatoes
57,Isabel Velez,2025-09-22,"Cheese,Flour,Tea","['Cheese', 'Flour', 'Tea']","['cheese', 'flour', 'tea']","['cheese', 'flour', 'tea']",cheese; flour; tea
58,Christopher Ramos,2025-09-16,"Rice,Milk,Apples,Coffee,Toothpaste,Oil,Carrots","['Rice', 'Milk', 'Apples', 'Coffee', 'Toothpaste', 'Oil', 'Carrots']","['rice', 'milk', 'apples', 'coffee', 'toothpaste', 'oil', 'carrots']","['apples', 'carrots', 'coffee', 'milk', 'oil', 'rice', 'toothpaste']",apples; carrots; coffee; milk; oil; rice; toothpaste
59,George Coleman,2025-10-21,"Soap,Cereal,Pasta","['Soap', 'Cereal', 'Pasta']","['soap', 'cereal', 'pasta']","['cereal', 'pasta', 'soap']",cereal; pasta; soap
60,Jessica Dunn,2025-01-26,"Potatoes,Bread,Milk,Oranges,Tea,Toothpaste","['Potatoes', 'Bread', 'Milk', 'Oranges', 'Tea', 'Toothpaste']","['potatoes', 'bread', 'milk', 'oranges', 'tea', 'toothpaste']","['bread', 'milk', 'oranges', 'potatoes', 'tea', 'toothpaste']",bread; milk; oranges; potatoes; tea; toothpaste
61,Zachary Martin,2025-10-02,"Sugar,Shampoo","['Sugar', 'Shampoo']","['sugar', 'shampoo']","['shampoo', 'sugar']",shampoo; sugar
62,Christopher Thomas,2025-05-08,"Chicken,Sugar,Apples,Eggs,Grapes,Juice,Beef","['Chicken', 'Sugar', 'Apples', 'Eggs', 'Grapes', 'Juice', 'Beef']","['chicken', 'sugar', 'apples', 'eggs', 'grapes', 'juice', 'beef']","['apples', 'beef', 'chicken', 'eggs', 'grapes', 'juice', 'sugar']",apples; beef; chicken; eggs; grapes; juice; sugar
63,Benjamin Martin,2025-06-01,"Eggs,Carrots,Toothpaste,Rice,Yogurt,Cheese","['Eggs', 'Carrots', 'Toothpaste', 'Rice', 'Yogurt', 'Cheese']","['eggs', 'carrots', 'toothpaste', 'rice', 'yogurt', 'cheese']","['carrots', 'cheese', 'eggs', 'rice', 'toothpaste', 'yogurt']",carrots; cheese; eggs; rice; toothpaste; yogurt
64,Donald Rivera,2025-07-03,"Carrots,Toothpaste,Onions,Cereal","['Carrots', 'Toothpaste', 'Onions', 'Cereal']","['carrots', 'toothpaste', 'onions', 'cereal']","['carrots', 'cereal', 'onions', 'toothpaste']",carrots; cereal; onions; toothpaste
65,Richard Davis,2025-06-16,"Apples,Eggs,Flour","['Apples', 'Eggs', 'Flour']","['apples', 'eggs', 'flour']","['apples', 'eggs', 'flour']",apples; eggs; flour
66,Leslie Morgan,2025-06-06,"Pasta,Carrots","['Pasta', 'Carrots']","['pasta', 'carrots']","['carrots', 'pasta']",carrots; pasta
67,Michelle Blackburn,2024-12-22,"Toothpaste,Milk,Yogurt,Eggs,Potatoes,Bread,Bananas","['Toothpaste', 'Milk', 'Yogurt', 'Eggs', 'Potatoes', 'Bread', 'Bananas']","['toothpaste', 'milk', 'yogurt', 'eggs', 'potatoes', 'bread', 'bananas']","['bananas', 'bread', 'eggs', 'milk', 'potatoes', 'toothpaste', 'yogurt']",bananas; bread; eggs; milk; potatoes; toothpaste; yogurt
68,Stephanie Morrison,2025-02-08,"Tea,Bananas,Chicken,Fish","['Tea', 'Bananas', 'Chicken', 'Fish']","['tea', 'bananas', 'chicken', 'fish']","['bananas', 'chicken', 'fish', 'tea']",bananas; chicken; fish; tea
69,Douglas Johnson,2025-06-20,"Potatoes,Salt","['Potatoes', 'Salt']","['potatoes', 'salt']","['potatoes', 'salt']",potatoes; salt
70,Kimberly Rodriguez,2024-12-28,"Carrots,Oil,Bananas,Chicken","['Carrots', 'Oil', 'Bananas', 'Chicken']","['carrots', 'oil', 'bananas', 'chicken']","['bananas', 'carrots', 'chicken', 'oil']",bananas; carrots; chicken; oil
71,Jordan Shelton,2025-04-11,"Coffee,Potatoes,Rice,Oranges,Carrots,Bananas","['Coffee', 'Potatoes', 'Rice', 'Oranges', 'Carrots', 'Bananas']","['coffee', 'potatoes', 'rice', 'oranges', 'carrots', 'bananas']","['bananas', 'carrots', 'coffee', 'oranges', 'potatoes', 'rice']",bananas; carrots; coffee; oranges; potatoes; rice
72,Shelby Delgado,2025-04-11,"Rice,Cereal,Pasta","['Rice', 'Cereal', 'Pasta']","['rice', 'cereal', 'pasta']","['cereal', 'pasta', 'rice']",cereal; pasta; rice
73,Samuel Stewart,2025-05-03,"Grapes,Coffee","['Grapes', 'Coffee']","['grapes', 'coffee']","['coffee', 'grapes']",coffee; grapes
74,Anna Schmidt,2025-10-08,"Chicken,Toothpaste,Beef,Soap,Potatoes","['Chicken', 'Toothpaste', 'Beef', 'Soap', 'Potatoes']","['chicken', 'toothpaste', 'beef', 'soap', 'potatoes']","['beef', 'chicken', 'potatoes', 'soap', 'toothpaste']",beef; chicken; potatoes; soap; toothpaste
75,Ricky Lambert,2025-08-30,"Bread,Butter,Eggs,Onions,Oranges,Beef","['Bread', 'Butter', 'Eggs', 'Onions', 'Oranges', 'Beef']","['bread', 'butter', 'eggs', 'onions', 'oranges', 'beef']","['beef', 'bread', 'butter', 'eggs', 'onions', 'oranges']",beef; bread; butter; eggs; onions; oranges
76,Daniel Molina,2025-07-25,"Grapes,Butter,Sugar,Soap,Fish,Tomatoes","['Grapes', 'Butter', 'Sugar', 'Soap', 'Fish', 'Tomatoes']","['grapes', 'butter', 'sugar', 'soap', 'fish', 'tomatoes']","['butter', 'fish', 'grapes', 'soap', 'sugar', 'tomatoes']",butter; fish; grapes; soap; sugar; tomatoes
77,Jeremy Cooper,2025-02-08,"Oil,Soap,Tomatoes","['Oil', 'Soap', 'Tomatoes']","['oil', 'soap', 'tomatoes']","['oil', 'soap', 'tomatoes']",oil; soap; tomatoes
78,Alexander Barton,2025-04-05,"Rice,Beef,Juice,Milk,Onions,Grapes","['Rice', 'Beef', 'Juice', 'Milk', 'Onions', 'Grapes']","['rice', 'beef', 'juice', 'milk', 'onions', 'grapes']","['beef', 'grapes', 'juice', 'milk', 'onions', 'rice']",beef; grapes; juice; milk; onions; rice
79,Lori Vasquez,2025-04-02,"Milk,Cereal,Shampoo,Apples,Eggs,Yogurt,Carrots","['Milk', 'Cereal', 'Shampoo', 'Apples', 'Eggs', 'Yogurt', 'Carrots']","['milk', 'cereal', 'shampoo', 'apples', 'eggs', 'yogurt', 'carrots']","['apples', 'carrots', 'cereal', 'eggs', 'milk', 'shampoo', 'yogurt']",apples; carrots; cereal; eggs; milk; shampoo; yogurt
80,Julia Powell,2025-06-21,"Salt,Apples,Oranges","['Salt', 'Apples', 'Oranges']","['salt', 'apples', 'oranges']","['apples', 'oranges', 'salt']",apples; oranges; salt
81,Ashley Butler,2025-01-27,"Cereal,Sugar,Oranges,Shampoo","['Cereal', 'Sugar', 'Oranges', 'Shampoo']","['cereal', 'sugar', 'oranges', 'shampoo']","['cereal', 'oranges', 'shampoo', 'sugar']",cereal; oranges; shampoo; sugar
82,Wesley Perry,2024-12-12,"Bread,Onions,Flour,Juice,Beef,Tea","['Bread', 'Onions', 'Flour', 'Juice', 'Beef', 'Tea']","['bread', 'onions', 'flour', 'juice', 'beef', 'tea']","['beef', 'bread', 'flour', 'juice', 'onions', 'tea']",beef; bread; flour; juice; onions; tea
83,James Ramirez,2025-09-12,"Toothpaste,Onions,Coffee,Shampoo","['Toothpaste', 'Onions', 'Coffee', 'Shampoo']","['toothpaste', 'onions', 'coffee', 'shampoo']","['coffee', 'onions', 'shampoo', 'toothpaste']",coffee; onions; shampoo; toothpaste
84,John Jenkins,2024-12-03,"Tea,Rice,Oil","['Tea', 'Rice', 'Oil']","['tea', 'rice', 'oil']","['oil', 'rice', 'tea']",oil; rice; tea
85,Mrs. Sandra Ray,2025-01-09,"Eggs,Juice,Oil,Pasta,Carrots","['Eggs', 'Juice', 'Oil', 'Pasta', 'Carrots']","['eggs', 'juice', 'oil', 'pasta', 'carrots']","['carrots', 'eggs', 'juice', 'oil', 'pasta']",carrots; eggs; juice; oil; pasta
86,Brian Cox,2025-07-26,"Milk,Chicken,Onions,Shampoo","['Milk', 'Chicken', 'Onions', 'Shampoo']","['milk', 'chicken', 'onions', 'shampoo']","['chicken', 'milk', 'onions', 'shampoo']",chicken; milk; onions; shampoo
87,Christian Smith,2024-12-12,"Tomatoes,Oil,Oranges,Flour,Soap","['Tomatoes', 'Oil', 'Oranges', 'Flour', 'Soap']","['tomatoes', 'oil', 'oranges', 'flour', 'soap']","['flour', 'oil', 'oranges', 'soap', 'tomatoes']",flour; oil; oranges; soap; tomatoes
88,Ronald Stanton,2025-05-15,"Grapes,Tomatoes,Coffee,Juice,Cheese","['Grapes', 'Tomatoes', 'Coffee', 'Juice', 'Cheese']","['grapes', 'tomatoes', 'coffee', 'juice', 'cheese']","['cheese', 'coffee', 'grapes', 'juice', 'tomatoes']",cheese; coffee; grapes; juice; tomatoes
89,Phyllis Ramsey,2025-01-06,"Potatoes,Tomatoes,Toothpaste","['Potatoes', 'Tomatoes', 'Toothpaste']","['potatoes', 'tomatoes', 'toothpaste']","['potatoes', 'tomatoes', 'toothpaste']",potatoes; tomatoes; toothpaste
90,Mary Bruce,2025-07-06,"Tomatoes,Eggs,Tea","['Tomatoes', 'Eggs', 'Tea']","['tomatoes', 'eggs', 'tea']","['eggs', 'tea', 'tomatoes']",eggs; tea; tomatoes
91,Jesse Hill,2025-07-02,"Chicken,Tea,Butter","['Chicken', 'Tea', 'Butter']","['chicken', 'tea', 'butter']","['butter', 'chicken', 'tea']",butter; chicken; tea
92,Anne Smith,2025-08-02,"Carrots,Salt,Eggs","['Carrots', 'Salt', 'Eggs']","['carrots', 'salt', 'eggs']","['carrots', 'eggs', 'salt']",carrots; eggs; salt
93,Robert Morris,2025-10-29,"Tea,Pasta,Fish,Salt,Cereal,Bananas,Rice","['Tea', 'Pasta', 'Fish', 'Salt', 'Cereal', 'Bananas', 'Rice']","['tea', 'pasta', 'fish', 'salt', 'cereal', 'bananas', 'rice']","['bananas', 'cereal', 'fish', 'pasta', 'rice', 'salt', 'tea']",bananas; cereal; fish; pasta; rice; salt; tea
94,Sarah Fuller,2025-08-26,"Chicken,Bananas,Yogurt,Pasta,Soap,Juice","['Chicken', 'Bananas', 'Yogurt', 'Pasta', 'Soap', 'Juice']","['chicken', 'bananas', 'yogurt', 'pasta', 'soap', 'juice']","['bananas', 'chicken', 'juice', 'pasta', 'soap', 'yogurt']",bananas; chicken; juice; pasta; soap; yogurt
95,Alison Bennett,2025-11-19,"Eggs,Juice,Oil,Pasta,Grapes","['Eggs', 'Juice', 'Oil', 'Pasta', 'Grapes']","['eggs', 'juice', 'oil', 'pasta', 'grapes']","['eggs', 'grapes', 'juice', 'oil', 'pasta']",eggs; grapes; juice; oil; pasta
96,Lisa Perez,2025-04-15,"Potatoes,Shampoo,Yogurt,Cheese,Rice,Soap","['Potatoes', 'Shampoo', 'Yogurt', 'Cheese', 'Rice', 'Soap']","['potatoes', 'shampoo', 'yogurt', 'cheese', 'rice', 'soap']","['cheese', 'potatoes', 'rice', 'shampoo', 'soap', 'yogurt']",cheese; potatoes; rice; shampoo; soap; yogurt
97,Jennifer Hall,2025-05-28,"Eggs,Shampoo,Butter,Flour,Bread,Toothpaste","['Eggs', 'Shampoo', 'Butter', 'Flour', 'Bread', 'Toothpaste']","['eggs', 'shampoo', 'butter', 'flour', 'bread', 'toothpaste']","['bread', 'butter', 'eggs', 'flour', 'shampoo', 'toothpaste']",bread; butter; eggs; flour; shampoo; toothpaste
98,Jeremiah Hudson,2025-08-28,"Oil,Carrots,Bananas","['Oil', 'Carrots', 'Bananas']","['oil', 'carrots', 'bananas']","['bananas', 'carrots', 'oil']",bananas; carrots; oil
99,Vickie Smith,2025-02-14,"Cheese,Fish,Tea,Flour,Butter","['Cheese', 'Fish', 'Tea', 'Flour', 'Butter']","['cheese', 'fish', 'tea', 'flour', 'butter']","['butter', 'cheese', 'fish', 'flour', 'tea']",butter; cheese; fish; flour; tea
100,Jason Armstrong,2025-10-18,"Oil,Fish,Yogurt","['Oil', 'Fish', 'Yogurt']","['oil', 'fish', 'yogurt']","['fish', 'oil', 'yogurt']",fish; oil; yogurt
101,Alicia Gonzalez,2025-04-02,"Salt,Onions,Carrots,Juice","['Salt', 'Onions', 'Carrots', 'Juice']","['salt', 'onions', 'carrots', 'juice']","['carrots', 'juice', 'onions', 'salt']",carrots; juice; onions; salt
102,Cassandra Jefferson,2025-02-16,"Milk,Fish,Bread,Soap","['Milk', 'Fish', 'Bread', 'Soap']","['milk', 'fish', 'bread', 'soap']","['bread', 'fish', 'milk', 'soap']",bread; fish; milk; soap
103,Cheryl Richards,2025-09-16,"Coffee,Carrots","['Coffee', 'Carrots']","['coffee', 'carrots']","['carrots', 'coffee']",carrots; coffee
104,Shawn Collins,2025-03-15,"Potatoes,Butter","['Potatoes', 'Butter']","['potatoes', 'butter']","['butter', 'potatoes']",butter; potatoes
