TransactionID,CustomerName,Date,Items,cleaned_items
21,Joseph Pena,5/25/2025,"Toothpaste,Yogurt",toothpaste; yogurt
22,Timothy Smith,7/14/2025,"Chicken,Potatoes,Carrots,Yogurt,Shampoo,Tomatoes,Onions",carrots; chicken; onions; potatoes; shampoo; tomatoes; yogurt
23,Ethan Odom,3/28/2025,"Toothpaste,Butter,Pasta",butter; pasta; toothpaste
24,Carol Williams,03-02-25,"Milk,Salt,Oil,Tomatoes,Juice,Flour,Grapes",flour; grapes; juice; milk; oil; salt; tomatoes
25,Leroy Williams,03-06-25,"Pasta,Onions,Soap,Potatoes,Sugar",onions; pasta; potatoes; soap; sugar
26,Brian Scott,11/16/2025,"Onions,Bananas,Potatoes,Eggs,Butter,Salt,Juice",bananas; butter; eggs; juice; onions; potatoes; salt
27,Patricia Terry,09-08-25,"Oranges,Oil,Coffee,Soap,Bread,Bananas",bananas; bread; coffee; oil; oranges; soap
28,Sarah Green,12/25/2024,"Sugar,Chicken,Soap",chicken; soap; sugar
29,Jason Martinez,01-01-25,"Pasta,Shampoo",pasta; shampoo
30,Jason Miranda,09-03-25,"Onions,Salt,Eggs,Potatoes",eggs; onions; potatoes; salt
31,Mrs. Kathleen Conley,01-01-25,"Shampoo,Carrots,Oil",carrots; oil; shampoo
32,Destiny Nichols,1/13/2025,"Milk,Grapes,Carrots",carrots; grapes; milk
33,Natalie Lee,1/16/2025,"Fish,Butter",butter; fish
34,Pamela Bennett,10/21/2025,"Eggs,Soap,Potatoes,Flour",eggs; flour; potatoes; soap
35,Carla Young,1/26/2025,"Beef,Yogurt",beef; yogurt
36,Marcus Moore,08-04-25,"Fish,Shampoo",fish; shampoo
37,Evan Martinez,12/16/2024,"Grapes,Pasta",grapes; pasta
38,Aaron Hartman,08-01-25,"Soap,Flour,Grapes,Bananas,Cheese",bananas; cheese; flour; grapes; soap
39,Mrs. Alexandra Roberts,3/28/2025,"Onions,Soap,Coffee,Flour",coffee; flour; onions; soap
40,Victoria Krueger,7/30/2025,"Grapes,Onions,Pasta,Yogurt",grapes; onions; pasta; yogurt
41,Sydney Sweeney,06-02-25,"Oil,Cheese,Milk,Beef,Carrots,Coffee",beef; carrots; cheese; coffee; milk; oil
42,Dawn Larson,9/30/2025,"Cheese,Toothpaste,Cereal,Apples,Juice,Soap",apples; cereal; cheese; juice; soap; toothpaste
43,David Harrell,1/28/2025,"Bread,Fish,Cheese",bread; cheese; fish
44,Gabriel Williams,10/17/2025,"Oranges,Soap,Bananas,Beef,Shampoo,Chicken,Yogurt",bananas; beef; chicken; oranges; shampoo; soap; yogurt
45,Andrew Hawkins,09-06-25,"Flour,Potatoes,Butter,Juice",butter; flour; juice; potatoes
46,Megan Bass,6/19/2025,"Juice,Cheese,Onions,Rice,Oranges",cheese; juice; onions; oranges; rice
47,Aaron Blackwell,9/22/2025,"Chicken,Tea,Shampoo",chicken; shampoo; tea
48,Paul Carrillo,06-12-25,"Yogurt,Sugar",sugar; yogurt
49,Jennifer Williams,11/23/2024,"Onions,Potatoes,Tea",onions; potatoes; tea
50,Shawn Michael,12/22/2024,"Juice,Toothpaste,Apples,Coffee",apples; coffee; juice; toothpaste
51,Anne Beard,3/24/2025,"Salt,Chicken,Coffee,Cheese",cheese; chicken; coffee; salt
52,Daniel Fitzgerald,3/18/2025,"Sugar,Potatoes,Coffee,Oranges",coffee; oranges; potatoes; sugar
53,David Rivera,12/28/2024,"Milk,Bread,Tomatoes",bread; milk; tomatoes
54,Anthony White,5/17/2025,"Cereal,Fish,Cheese,Coffee,Apples",apples; cereal; cheese; coffee; fish
55,Krista Hamilton,02-10-25,"Carrots,Rice,Tea,Shampoo,Soap,Flour",carrots; flour; rice; shampoo; soap; tea
56,Jennifer Bass,05-03-25,"Butter,Tomatoes",butter; tomatoes
57,Isabel Velez,9/22/2025,"Cheese,Flour,Tea",cheese; flour; tea
58,Christopher Ramos,9/16/2025,"Rice,Milk,Apples,Coffee,Toothpaste,Oil,Carrots",apples; carrots; coffee; milk; oil; rice; toothpaste
59,George Coleman,10/21/2025,"Soap,Cereal,Pasta",cereal; pasta; soap
60,Jessica Dunn,1/26/2025,"Potatoes,Bread,Milk,Oranges,Tea,Toothpaste",bread; milk; oranges; potatoes; tea; toothpaste
61,Zachary Martin,10-02-25,"Sugar,Shampoo",shampoo; sugar
62,Christopher Thomas,05-08-25,"Chicken,Sugar,Apples,Eggs,Grapes,Juice,Beef",apples; beef; chicken; eggs; grapes; juice; sugar
63,Benjamin Martin,06-01-25,"Eggs,Carrots,Toothpaste,Rice,Yogurt,Cheese",carrots; cheese; eggs; rice; toothpaste; yogurt
64,Donald Rivera,07-03-25,"Carrots,Toothpaste,Onions,Cereal",carrots; cereal; onions; toothpaste
65,Richard Davis,6/16/2025,"Apples,Eggs,Flour",apples; eggs; flour
66,Leslie Morgan,06-06-25,"Pasta,Carrots",carrots; pasta
67,Michelle Blackburn,12/22/2024,"Toothpaste,Milk,Yogurt,Eggs,Potatoes,Bread,Bananas",bananas; bread; eggs; milk; potatoes; toothpaste; yogurt
68,Stephanie Morrison,02-08-25,"Tea,Bananas,Chicken,Fish",bananas; chicken; fish; tea
69,Douglas Johnson,6/20/2025,"Potatoes,Salt",potatoes; salt
70,Kimberly Rodriguez,12/28/2024,"Carrots,Oil,Bananas,Chicken",bananas; carrots; chicken; oil
71,Jordan Shelton,04-11-25,"Coffee,Potatoes,Rice,Oranges,Carrots,Bananas",bananas; carrots; coffee; oranges; potatoes; rice
72,Shelby Delgado,04-11-25,"Rice,Cereal,Pasta",cereal; pasta; rice
73,Samuel Stewart,05-03-25,"Grapes,Coffee",coffee; grapes
74,Anna Schmidt,10-08-25,"Chicken,Toothpaste,Beef,Soap,Potatoes",beef; chicken; potatoes; soap; toothpaste
75,Ricky Lambert,8/30/2025,"Bread,Butter,Eggs,Onions,Oranges,Beef",beef; bread; butter; eggs; onions; oranges
76,Daniel Molina,7/25/2025,"Grapes,Butter,Sugar,Soap,Fish,Tomatoes",butter; fish; grapes; soap; sugar; tomatoes
77,Jeremy Cooper,02-08-25,"Oil,Soap,Tomatoes",oil; soap; tomatoes
78,Alexander Barton,04-05-25,"Rice,Beef,Juice,Milk,Onions,Grapes",beef; grapes; juice; milk; onions; rice
79,Lori Vasquez,04-02-25,"Milk,Cereal,Shampoo,Apples,Eggs,Yogurt,Carrots",apples; carrots; cereal; eggs; milk; shampoo; yogurt
80,Julia Powell,6/21/2025,"Salt,Apples,Oranges",apples; oranges; salt
81,Ashley Butler,1/27/2025,"Cereal,Sugar,Oranges,Shampoo",cereal; oranges; shampoo; sugar
82,Wesley Perry,12-12-24,"Bread,Onions,Flour,Juice,Beef,Tea",beef; bread; flour; juice; onions; tea
83,James Ramirez,09-12-25,"Toothpaste,Onions,Coffee,Shampoo",coffee; onions; shampoo; toothpaste
84,John Jenkins,12-03-24,"Tea,Rice,Oil",oil; rice; tea
85,Mrs. Sandra Ray,01-09-25,"Eggs,Juice,Oil,Pasta,Carrots",carrots; eggs; juice; oil; pasta
86,Brian Cox,7/26/2025,"Milk,Chicken,Onions,Shampoo",chicken; milk; onions; shampoo
87,Christian Smith,12-12-24,"Tomatoes,Oil,Oranges,Flour,Soap",flour; oil; oranges; soap; tomatoes
88,Ronald Stanton,5/15/2025,"Grapes,Tomatoes,Coffee,Juice,Cheese",cheese; coffee; grapes; juice; tomatoes
89,Phyllis Ramsey,01-06-25,"Potatoes,Tomatoes,Toothpaste",potatoes; tomatoes; toothpaste
90,Mary Bruce,07-06-25,"Tomatoes,Eggs,Tea",eggs; tea; tomatoes
91,Jesse Hill,07-02-25,"Chicken,Tea,Butter",butter; chicken; tea
92,Anne Smith,08-02-25,"Carrots,Salt,Eggs",carrots; eggs; salt
93,Robert Morris,10/29/2025,"Tea,Pasta,Fish,Salt,Cereal,Bananas,Rice",bananas; cereal; fish; pasta; rice; salt; tea
94,Sarah Fuller,8/26/2025,"Chicken,Bananas,Yogurt,Pasta,Soap,Juice",bananas; chicken; juice; pasta; soap; yogurt
95,Alison Bennett,11/19/2025,"Eggs,Juice,Oil,Pasta,Grapes",eggs; grapes; juice; oil; pasta
96,Lisa Perez,4/15/2025,"Potatoes,Shampoo,Yogurt,Cheese,Rice,Soap",cheese; potatoes; rice; shampoo; soap; yogurt
97,Jennifer Hall,5/28/2025,"Eggs,Shampoo,Butter,Flour,Bread,Toothpaste",bread; butter; eggs; flour; shampoo; toothpaste
98,Jeremiah Hudson,8/28/2025,"Oil,Carrots,Bananas",bananas; carrots; oil
99,Vickie Smith,2/14/2025,"Cheese,Fish,Tea,Flour,Butter",butter; cheese; fish; flour; tea
100,Jason Armstrong,10/18/2025,"Oil,Fish,Yogurt",fish; oil; yogurt
101,Alicia Gonzalez,04-02-25,"Salt,Onions,Carrots,Juice",carrots; juice; onions; salt
102,Cassandra Jefferson,2/16/2025,"Milk,Fish,Bread,Soap",bread; fish; milk; soap
103,Cheryl Richards,9/16/2025,"Coffee,Carrots",carrots; coffee
104,Shawn Collins,3/15/2025,"Potatoes,Butter",butter; potatoes
105,Travis Stevens,05-04-25,"Shampoo,Chicken,Rice,Onions,Oranges,Juice,Cheese",cheese; chicken; juice; onions; oranges; rice; shampoo
106,Kimberly Hall,1/14/2025,"Potatoes,Soap,Apples,Tomatoes",apples; potatoes; soap; tomatoes
107,Mark Velazquez,9/19/2025,"Sugar,Toothpaste,Flour,Butter",butter; flour; sugar; toothpaste
108,Patrick Ruiz,05-11-25,"Tea,Oranges,Sugar,Bananas,Cereal",bananas; cereal; oranges; sugar; tea
109,Thomas Ellis,11/24/2024,"Oranges,Soap,Coffee,Onions,Tomatoes,Eggs,Milk",coffee; eggs; milk; onions; oranges; soap; tomatoes
110,Debra Gross,10/21/2025,"Grapes,Fish,Beef,Soap",beef; fish; grapes; soap
111,Justin Carter,1/29/2025,"Oil,Juice",juice; oil
112,Jesse Reyes,5/22/2025,"Fish,Tomatoes,Potatoes",fish; potatoes; tomatoes
113,Krystal Giles,12/31/2024,"Oil,Bread,Cereal,Butter,Milk",bread; butter; cereal; milk; oil
114,Melanie Holmes,4/22/2025,"Potatoes,Beef",beef; potatoes
115,Travis Harris,4/19/2025,"Grapes,Tomatoes,Juice,Chicken",chicken; grapes; juice; tomatoes
116,Katrina Johnson,12/17/2024,"Flour,Juice,Potatoes",flour; juice; potatoes
117,Michael Brown,10/27/2025,"Coffee,Apples,Salt,Carrots",apples; carrots; coffee; salt
118,Jason Knight,11/29/2024,"Shampoo,Carrots,Butter,Oil,Bananas",bananas; butter; carrots; oil; shampoo
119,Robert Thompson,10/14/2025,"Tea,Chicken,Apples,Rice",apples; chicken; rice; tea
120,Kristina Williams,11/28/2024,"Potatoes,Carrots,Tea,Cereal,Shampoo",carrots; cereal; potatoes; shampoo; tea
121,Emily Brown,12/20/2024,"Yogurt,Salt,Tea,Chicken,Sugar,Butter",butter; chicken; salt; sugar; tea; yogurt
122,Kathleen Adams,12/13/2024,"Butter,Coffee,Chicken,Eggs,Beef",beef; butter; chicken; coffee; eggs
123,Michael Morrow,4/25/2025,"Onions,Beef,Milk,Sugar,Bread,Bananas,Toothpaste",bananas; beef; bread; milk; onions; sugar; toothpaste
124,Veronica Schwartz,8/19/2025,"Cereal,Chicken,Potatoes,Flour,Carrots,Sugar,Bread",bread; carrots; cereal; chicken; flour; potatoes; sugar
125,Amber Rollins,7/18/2025,"Apples,Beef,Coffee",apples; beef; coffee
126,Jennifer Palmer,9/21/2025,"Butter,Milk,Beef",beef; butter; milk
127,Laura Knight,05-09-25,"Toothpaste,Grapes,Beef",beef; grapes; toothpaste
128,Kevin Brown,1/15/2025,"Juice,Tea,Sugar,Grapes",grapes; juice; sugar; tea
129,Renee Hale,12/31/2024,"Cereal,Tomatoes,Coffee,Flour",cereal; coffee; flour; tomatoes
130,Carolyn Black,10/20/2025,"Toothpaste,Soap,Oil,Apples,Fish,Cheese,Salt",apples; cheese; fish; oil; salt; soap; toothpaste
131,James Rodriguez,05-07-25,"Pasta,Bananas,Juice,Cereal,Bread,Cheese,Beef",bananas; beef; bread; cereal; cheese; juice; pasta
132,Cynthia Harrell,04-08-25,"Carrots,Oranges",carrots; oranges
133,John Boyd,1/28/2025,"Shampoo,Toothpaste,Apples,Salt,Butter,Grapes",apples; butter; grapes; salt; shampoo; toothpaste
134,Elizabeth Anderson,01-08-25,"Cereal,Apples,Milk,Onions,Sugar",apples; cereal; milk; onions; sugar
135,Margaret Williams,11/17/2025,"Sugar,Coffee,Apples,Oil,Milk,Tea",apples; coffee; milk; oil; sugar; tea
136,Tristan Willis,6/13/2025,"Bread,Beef,Chicken,Milk",beef; bread; chicken; milk
137,Christina Lee,11-03-25,"Onions,Grapes,Apples,Shampoo,Chicken",apples; chicken; grapes; onions; shampoo
138,Carrie Brown,04-11-25,"Flour,Apples",apples; flour
139,Mike Coleman,08-01-25,"Salt,Grapes,Tomatoes,Pasta,Carrots",carrots; grapes; pasta; salt; tomatoes
140,Anna Stewart,11-02-25,"Salt,Sugar",salt; sugar
141,Jacqueline Matthews,10/26/2025,"Carrots,Salt,Eggs,Yogurt,Grapes,Bananas",bananas; carrots; eggs; grapes; salt; yogurt
142,Christina Baker,3/20/2025,"Fish,Bread,Butter,Tomatoes,Grapes,Milk",bread; butter; fish; grapes; milk; tomatoes
143,Jennifer Evans,4/30/2025,"Potatoes,Sugar,Butter,Rice,Beef,Oranges,Eggs",beef; butter; eggs; oranges; potatoes; rice; sugar
144,Nicholas Lewis,3/31/2025,"Flour,Coffee,Juice,Grapes,Bread,Oil",bread; coffee; flour; grapes; juice; oil
145,Jeffrey Richardson,1/30/2025,"Milk,Toothpaste,Tomatoes",milk; tomatoes; toothpaste
146,Raymond Walsh,4/15/2025,"Yogurt,Chicken,Onions,Soap,Apples,Flour,Juice",apples; chicken; flour; juice; onions; soap; yogurt
147,Sara Ponce,9/14/2025,"Coffee,Carrots,Cheese,Beef,Sugar,Juice,Milk",beef; carrots; cheese; coffee; juice; milk; sugar
148,Mr. Kenneth Rodriguez,9/21/2025,"Onions,Tea,Tomatoes",onions; tea; tomatoes
149,Mr. Jonathan Gonzalez,1/21/2025,"Carrots,Apples,Onions,Bread,Beef,Coffee",apples; beef; bread; carrots; coffee; onions
150,Martin Daniel,9/26/2025,"Cereal,Eggs,Tomatoes,Shampoo,Pasta",cereal; eggs; pasta; shampoo; tomatoes
151,Julie Davis,10/26/2025,"Chicken,Flour",chicken; flour
152,Michele Castro,10/26/2025,"Potatoes,Pasta,Juice,Onions",juice; onions; pasta; potatoes
153,Tommy Hawkins,10/27/2025,"Sugar,Milk,Oil,Eggs,Coffee",coffee; eggs; milk; oil; sugar
154,Lisa Lara,3/28/2025,"Tea,Onions",onions; tea
155,Haley Mills,9/22/2025,"Potatoes,Toothpaste,Salt,Tomatoes",potatoes; salt; tomatoes; toothpaste
156,Brianna Moore,01-02-25,"Oranges,Butter,Yogurt,Eggs,Fish,Juice,Beef",beef; butter; eggs; fish; juice; oranges; yogurt
157,Terry Thomas,4/22/2025,"Coffee,Salt",coffee; salt
158,Dr. Justin Wilkins,6/26/2025,"Flour,Toothpaste,Coffee,Rice",coffee; flour; rice; toothpaste
159,Dale Grant,2/24/2025,"Butter,Beef,Eggs",beef; butter; eggs
160,Kyle Collins,08-02-25,"Oil,Bread,Shampoo,Cheese,Salt",bread; cheese; oil; salt; shampoo
161,Victoria Thompson,9/13/2025,"Toothpaste,Eggs,Cheese",cheese; eggs; toothpaste
162,Morgan Lee,06-06-25,"Bread,Tea,Carrots,Cheese,Juice",bread; carrots; cheese; juice; tea
163,George Spencer,6/21/2025,"Cereal,Butter,Yogurt,Salt",butter; cereal; salt; yogurt
164,Jessica Lowe,08-12-25,"Cereal,Toothpaste,Butter,Coffee,Tomatoes",butter; cereal; coffee; tomatoes; toothpaste
165,Suzanne Smith,10-08-25,"Bread,Salt",bread; salt
166,Matthew Davis,2/22/2025,"Shampoo,Salt",salt; shampoo
167,Marilyn Castaneda,12/17/2024,"Toothpaste,Soap,Tomatoes,Grapes,Apples",apples; grapes; soap; tomatoes; toothpaste
168,Jacob Miller,3/17/2025,"Apples,Potatoes,Flour",apples; flour; potatoes
169,Amy Wilson,5/25/2025,"Grapes,Carrots,Rice",carrots; grapes; rice
170,Kristin Hall,06-07-25,"Yogurt,Butter,Cheese,Eggs",butter; cheese; eggs; yogurt
171,Betty White,2/26/2025,"Tea,Cheese,Beef,Salt,Flour,Bread",beef; bread; cheese; flour; salt; tea
172,Tracy Reed,3/30/2025,"Chicken,Carrots,Sugar,Oil,Rice,Tea,Fish",carrots; chicken; fish; oil; rice; sugar; tea
173,Joseph Campbell,10/23/2025,"Toothpaste,Tomatoes,Bread,Oranges,Tea",bread; oranges; tea; tomatoes; toothpaste
174,Christopher Ray,9/24/2025,"Carrots,Tea",carrots; tea
175,David Wiley,5/17/2025,"Oranges,Apples,Salt,Shampoo,Eggs,Fish,Rice",apples; eggs; fish; oranges; rice; salt; shampoo
176,Amy Douglas,8/30/2025,"Tea,Oranges,Bananas",bananas; oranges; tea
177,Brian Esparza,07-01-25,"Milk,Soap,Oranges,Tea,Salt",milk; oranges; salt; soap; tea
178,Kathy Warner,4/14/2025,"Eggs,Salt,Pasta,Oil",eggs; oil; pasta; salt
179,Anna Edwards,6/26/2025,"Bananas,Butter,Toothpaste,Grapes,Tea,Apples",apples; bananas; butter; grapes; tea; toothpaste
180,Carrie Ellis,3/18/2025,"Oranges,Shampoo,Onions,Coffee,Bread,Fish,Potatoes",bread; coffee; fish; onions; oranges; potatoes; shampoo
181,Eileen Reilly,5/17/2025,"Flour,Grapes,Beef,Chicken,Tomatoes,Fish,Eggs",beef; chicken; eggs; fish; flour; grapes; tomatoes
182,Michael Garcia,1/28/2025,"Fish,Oranges,Flour,Bananas,Salt,Eggs,Bread",bananas; bread; eggs; fish; flour; oranges; salt
183,Jessica Garrett,9/21/2025,"Rice,Potatoes",potatoes; rice
184,William Brown,5/31/2025,"Potatoes,Fish",fish; potatoes
185,Peter Ibarra,05-09-25,"Cereal,Carrots,Shampoo,Oil",carrots; cereal; oil; shampoo
186,Mary Bell,02-08-25,"Shampoo,Beef,Eggs,Flour,Potatoes",beef; eggs; flour; potatoes; shampoo
187,Jackie Browning,10/24/2025,"Tea,Carrots,Pasta,Salt,Yogurt,Rice",carrots; pasta; rice; salt; tea; yogurt
188,Timothy Thompson,02-06-25,"Apples,Pasta,Oil,Salt",apples; oil; pasta; salt
189,Sarah Moore,12/15/2024,"Oranges,Oil,Beef,Toothpaste,Grapes,Milk",beef; grapes; milk; oil; oranges; toothpaste
190,Karen Johnson,04-07-25,"Yogurt,Beef,Tomatoes,Carrots,Juice,Chicken",beef; carrots; chicken; juice; tomatoes; yogurt
191,Richard Walker,1/22/2025,"Shampoo,Grapes,Tomatoes,Apples,Milk,Beef",apples; beef; grapes; milk; shampoo; tomatoes
192,Richard Serrano,11/17/2025,"Toothpaste,Salt,Butter,Carrots",butter; carrots; salt; toothpaste
193,Jennifer Rocha,12/28/2024,"Sugar,Bread,Oranges",bread; oranges; sugar
194,Patrick Barnett,1/25/2025,"Toothpaste,Coffee,Grapes",coffee; grapes; toothpaste
195,Jonathan Davis,8/15/2025,"Sugar,Chicken,Pasta,Juice",chicken; juice; pasta; sugar
196,Misty Christensen,05-09-25,"Flour,Potatoes,Soap,Oranges",flour; oranges; potatoes; soap
197,Erin Dean,03-05-25,"Onions,Chicken,Apples,Oranges,Cereal",apples; cereal; chicken; onions; oranges
198,Laura Anderson,02-05-25,"Cereal,Shampoo,Salt,Toothpaste,Sugar,Cheese,Bananas",bananas; cereal; cheese; salt; shampoo; sugar; toothpaste
199,Julia Hines,07-04-25,"Onions,Coffee,Rice,Shampoo",coffee; onions; rice; shampoo
200,Aaron Lawson,11/21/2024,"Apples,Salt,Beef,Tomatoes,Pasta",apples; beef; pasta; salt; tomatoes
201,Jean Stone,12-03-24,"Apples,Coffee",apples; coffee
202,Robert Carter,11-04-25,"Fish,Flour,Shampoo,Apples,Yogurt",apples; fish; flour; shampoo; yogurt
203,Joseph Aguilar,9/29/2025,"Soap,Salt,Carrots,Fish",carrots; fish; salt; soap
204,Samuel Williams,04-01-25,"Carrots,Cheese,Tea,Bread,Shampoo",bread; carrots; cheese; shampoo; tea
205,Veronica Thompson,1/30/2025,"Shampoo,Rice,Toothpaste,Tomatoes,Eggs",eggs; rice; shampoo; tomatoes; toothpaste
206,Priscilla Brown,11-11-25,"Cheese,Apples,Cereal,Rice,Milk",apples; cereal; cheese; milk; rice
207,Kathryn Klein,06-01-25,"Bananas,Carrots,Onions,Juice,Coffee,Pasta",bananas; carrots; coffee; juice; onions; pasta
208,Ronald Lin,07-02-25,"Apples,Oil,Oranges,Pasta",apples; oil; oranges; pasta
209,Scott Mcconnell,5/20/2025,"Beef,Cereal,Rice,Apples",apples; beef; cereal; rice
210,Jason Sutton,10/26/2025,"Fish,Potatoes,Juice,Pasta,Milk,Rice",fish; juice; milk; pasta; potatoes; rice
211,Amanda Stark,11/25/2024,"Coffee,Juice,Cheese,Onions,Butter",butter; cheese; coffee; juice; onions
212,David Smith,6/22/2025,"Beef,Bread,Cereal,Coffee,Potatoes",beef; bread; cereal; coffee; potatoes
213,Susan Jimenez,03-10-25,"Sugar,Shampoo,Apples,Coffee,Soap",apples; coffee; shampoo; soap; sugar
214,Lisa Chandler,07-02-25,"Fish,Oranges,Oil,Rice,Soap,Onions",fish; oil; onions; oranges; rice; soap
215,Wendy Norman,1/23/2025,"Grapes,Beef,Oranges,Juice",beef; grapes; juice; oranges
216,Heather Tran,2/16/2025,"Oil,Coffee,Milk,Toothpaste",coffee; milk; oil; toothpaste
217,Christopher Curtis,3/18/2025,"Grapes,Rice",grapes; rice
218,Lisa Jackson,10/25/2025,"Cheese,Potatoes",cheese; potatoes
219,Frank Rice,1/28/2025,"Chicken,Salt,Flour,Soap",chicken; flour; salt; soap
220,Marco Turner,3/18/2025,"Oranges,Tomatoes",oranges; tomatoes
221,Timothy Klein,03-10-25,"Tea,Tomatoes,Juice,Yogurt",juice; tea; tomatoes; yogurt
222,Scott Mills,6/23/2025,"Grapes,Toothpaste,Bread",bread; grapes; toothpaste
223,Reginald Murray,11/27/2024,"Oil,Cereal,Onions,Potatoes,Milk",cereal; milk; oil; onions; potatoes
224,Micheal Finley,12-04-24,"Pasta,Milk,Juice,Rice,Oranges",juice; milk; oranges; pasta; rice
225,Aaron Porter,8/14/2025,"Tea,Soap,Grapes,Toothpaste,Fish",fish; grapes; soap; tea; toothpaste
226,John Robles,2/20/2025,"Rice,Soap,Toothpaste",rice; soap; toothpaste
227,Samuel Pena,9/28/2025,"Onions,Grapes,Juice,Eggs,Sugar",eggs; grapes; juice; onions; sugar
228,Shelly Robles,03-12-25,"Cereal,Oil",cereal; oil
229,Ian Chapman,10/15/2025,"Pasta,Rice,Flour,Potatoes,Fish,Tea",fish; flour; pasta; potatoes; rice; tea
230,Jonathan Reed,1/26/2025,"Chicken,Tea,Cheese,Carrots",carrots; cheese; chicken; tea
231,Anna Sanchez,5/31/2025,"Eggs,Oranges,Juice,Carrots,Flour,Coffee",carrots; coffee; eggs; flour; juice; oranges
232,Alexis Conley,3/17/2025,"Tomatoes,Apples,Cereal,Yogurt,Carrots,Sugar,Milk",apples; carrots; cereal; milk; sugar; tomatoes; yogurt
233,David Foster,8/22/2025,"Sugar,Yogurt",sugar; yogurt
234,Amy Walker,09-05-25,"Milk,Potatoes,Shampoo,Yogurt",milk; potatoes; shampoo; yogurt
235,Michael Ballard,11-01-25,"Coffee,Onions,Soap",coffee; onions; soap
236,Gary Sims,07-10-25,"Carrots,Bread,Chicken,Rice,Soap,Juice,Oil",bread; carrots; chicken; juice; oil; rice; soap
237,Jason Smith,12/26/2024,"Milk,Shampoo,Flour,Oranges,Cereal",cereal; flour; milk; oranges; shampoo
238,Tracey Bailey,11/23/2024,"Flour,Coffee,Tea,Apples",apples; coffee; flour; tea
239,Jacob Johnson,6/13/2025,"Oranges,Fish,Apples,Coffee,Beef",apples; beef; coffee; fish; oranges
240,Michael Lewis,12-10-24,"Coffee,Sugar,Fish",coffee; fish; sugar
241,Brian Boyd,4/18/2025,"Cheese,Toothpaste,Bread",bread; cheese; toothpaste
242,John Becker,08-09-25,"Coffee,Cereal,Butter,Carrots,Rice",butter; carrots; cereal; coffee; rice
243,Darin Mitchell,01-09-25,"Beef,Salt,Pasta,Tomatoes",beef; pasta; salt; tomatoes
244,Sarah Baldwin,07-09-25,"Coffee,Flour,Bananas,Eggs",bananas; coffee; eggs; flour
245,Sarah Bailey,8/21/2025,"Oranges,Rice,Chicken",chicken; oranges; rice
246,Samuel Kelly,04-06-25,"Cereal,Yogurt,Bread,Soap,Eggs,Onions,Grapes",bread; cereal; eggs; grapes; onions; soap; yogurt
247,Jonathan Vargas,11/18/2025,"Salt,Coffee,Beef,Rice,Sugar,Grapes,Oranges",beef; coffee; grapes; oranges; rice; salt; sugar
248,Jennifer Warren,02-08-25,"Rice,Coffee,Milk,Beef",beef; coffee; milk; rice
249,Caitlin Flores,07-03-25,"Pasta,Fish,Beef,Bread",beef; bread; fish; pasta
250,Michael Copeland,04-09-25,"Potatoes,Onions,Tea,Bananas,Shampoo",bananas; onions; potatoes; shampoo; tea
251,Donna Nguyen,4/17/2025,"Bread,Bananas",bananas; bread
252,Tammy Marsh,12/16/2024,"Eggs,Toothpaste,Oil,Chicken,Pasta,Yogurt",chicken; eggs; oil; pasta; toothpaste; yogurt
