TransactionID,CustomerName,Date,Items
66,Leslie Morgan,6/6/2025,"Pasta,Carrots"
67,Michelle Blackburn,12/22/2024,"Toothpaste,Milk,Yogurt,Eggs,Potatoes,Bread,Bananas"
68,Stephanie Morrison,2/8/2025,"Tea,Bananas,Chicken,Fish"
69,Douglas Johnson,6/20/2025,"Potatoes,Salt"
70,Kimberly Rodriguez,12/28/2024,"Carrots,Oil,Bananas,Chicken"
71,Jordan Shelton,4/11/2025,"Coffee,Potatoes,Rice,Oranges,Carrots,Bananas"
72,Shelby Delgado,4/11/2025,"Rice,Cereal,Pasta"
73,Samuel Stewart,5/3/2025,"Grapes,Coffee"
74,Anna Schmidt,10/8/2025,"Chicken,Toothpaste,Beef,Soap,Potatoes"
75,Ricky Lambert,8/30/2025,"Bread,Butter,Eggs,Onions,Oranges,Beef"
76,Daniel Molina,7/25/2025,"Grapes,Butter,Sugar,Soap,Fish,Tomatoes"
77,Jeremy Cooper,2/8/2025,"Oil,Soap,Tomatoes"
78,Alexander Barton,4/5/2025,"Rice,Beef,Juice,Milk,Onions,Grapes"
79,Lori Vasquez,4/2/2025,"Milk,Cereal,Shampoo,Apples,Eggs,Yogurt,Carrots"
80,Julia Powell,6/21/2025,"Salt,Apples,Oranges"
81,Ashley Butler,1/27/2025,"Cereal,Sugar,Oranges,Shampoo"
82,Wesley Perry,12/12/2024,"Bread,Onions,Flour,Juice,Beef,Tea"
83,James Ramirez,9/12/2025,"Toothpaste,Onions,Coffee,Shampoo"
84,John Jenkins,12/3/2024,"Tea,Rice,Oil"
85,Mrs. Sandra Ray,1/9/2025,"Eggs,Juice,Oil,Pasta,Carrots"
86,Brian Cox,7/26/2025,"Milk,Chicken,Onions,Shampoo"
87,Christian Smith,12/12/2024,"Tomatoes,Oil,Oranges,Flour,Soap"
88,Ronald Stanton,5/15/2025,"Grapes,Tomatoes,Coffee,Juice,Cheese"
89,Phyllis Ramsey,1/6/2025,"Potatoes,Tomatoes,Toothpaste"
90,Mary Bruce,7/6/2025,"Tomatoes,Eggs,Tea"
91,Jesse Hill,7/2/2025,"Chicken,Tea,Butter"
92,Anne Smith,8/2/2025,"Carrots,Salt,Eggs"
93,Robert Morris,10/29/2025,"Tea,Pasta,Fish,Salt,Cereal,Bananas,Rice"
94,Sarah Fuller,8/26/2025,"Chicken,Bananas,Yogurt,Pasta,Soap,Juice"
95,Alison Bennett,11/19/2025,"Eggs,Juice,Oil,Pasta,Grapes"
96,Lisa Perez,4/15/2025,"Potatoes,Shampoo,Yogurt,Cheese,Rice,Soap"
97,Jennifer Hall,5/28/2025,"Eggs,Shampoo,Butter,Flour,Bread,Toothpaste"
98,Jeremiah Hudson,8/28/2025,"Oil,Carrots,Bananas"
99,Vickie Smith,2/14/2025,"Cheese,Fish,Tea,Flour,Butter"
100,Jason Armstrong,10/18/2025,"Oil,Fish,Yogurt"
101,Alicia Gonzalez,4/2/2025,"Salt,Onions,Carrots,Juice"
102,Cassandra Jefferson,2/16/2025,"Milk,Fish,Bread,Soap"
103,Cheryl Richards,9/16/2025,"Coffee,Carrots"
104,Shawn Collins,3/15/2025,"Potatoes,Butter"
105,Travis Stevens,5/4/2025,"Shampoo,Chicken,Rice,Onions,Oranges,Juice,Cheese"
106,Kimberly Hall,1/14/2025,"Potatoes,Soap,Apples,Tomatoes"
107,Mark Velazquez,9/19/2025,"Sugar,Toothpaste,Flour,Butter"
108,Patrick Ruiz,5/11/2025,"Tea,Oranges,Sugar,Bananas,Cereal"
109,Thomas Ellis,11/24/2024,"Oranges,Soap,Coffee,Onions,Tomatoes,Eggs,Milk"
110,Debra Gross,10/21/2025,"Grapes,Fish,Beef,Soap"
111,Justin Carter,1/29/2025,"Oil,Juice"
112,Jesse Reyes,5/22/2025,"Fish,Tomatoes,Potatoes"
113,Krystal Giles,12/31/2024,"Oil,Bread,Cereal,Butter,Milk"
114,Melanie Holmes,4/22/2025,"Potatoes,Beef"
115,Travis Harris,4/19/2025,"Grapes,Tomatoes,Juice,Chicken"
116,Katrina Johnson,12/17/2024,"Flour,Juice,Potatoes"
117,Michael Brown,10/27/2025,"Coffee,Apples,Salt,Carrots"
118,Jason Knight,11/29/2024,"Shampoo,Carrots,Butter,Oil,Bananas"
119,Robert Thompson,10/14/2025,"Tea,Chicken,Apples,Rice"
120,Kristina Williams,11/28/2024,"Potatoes,Carrots,Tea,Cereal,Shampoo"
121,Emily Brown,12/20/2024,"Yogurt,Salt,Tea,Chicken,Sugar,Butter"
122,Kathleen Adams,12/13/2024,"Butter,Coffee,Chicken,Eggs,Beef"
123,Michael Morrow,4/25/2025,"Onions,Beef,Milk,Sugar,Bread,Bananas,Toothpaste"
124,Veronica Schwartz,8/19/2025,"Cereal,Chicken,Potatoes,Flour,Carrots,Sugar,Bread"
125,Amber Rollins,7/18/2025,"Apples,Beef,Coffee"
126,Jennifer Palmer,9/21/2025,"Butter,Milk,Beef"
127,Laura Knight,5/9/2025,"Toothpaste,Grapes,Beef"
128,Kevin Brown,1/15/2025,"Juice,Tea,Sugar,Grapes"
129,Renee Hale,12/31/2024,"Cereal,Tomatoes,Coffee,Flour"
130,Carolyn Black,10/20/2025,"Toothpaste,Soap,Oil,Apples,Fish,Cheese,Salt"
131,James Rodriguez,5/7/2025,"Pasta,Bananas,Juice,Cereal,Bread,Cheese,Beef"
132,Cynthia Harrell,4/8/2025,"Carrots,Oranges"
133,John Boyd,1/28/2025,"Shampoo,Toothpaste,Apples,Salt,Butter,Grapes"
134,Elizabeth Anderson,1/8/2025,"Cereal,Apples,Milk,Onions,Sugar"
135,Margaret Williams,11/17/2025,"Sugar,Coffee,Apples,Oil,Milk,Tea"
136,Tristan Willis,6/13/2025,"Bread,Beef,Chicken,Milk"
137,Christina Lee,11/3/2025,"Onions,Grapes,Apples,Shampoo,Chicken"
138,Carrie Brown,4/11/2025,"Flour,Apples"
139,Mike Coleman,8/1/2025,"Salt,Grapes,Tomatoes,Pasta,Carrots"
140,Anna Stewart,11/2/2025,"Salt,Sugar"
141,Jacqueline Matthews,10/26/2025,"Carrots,Salt,Eggs,Yogurt,Grapes,Bananas"
142,Christina Baker,3/20/2025,"Fish,Bread,Butter,Tomatoes,Grapes,Milk"
143,Jennifer Evans,4/30/2025,"Potatoes,Sugar,Butter,Rice,Beef,Oranges,Eggs"
144,Nicholas Lewis,3/31/2025,"Flour,Coffee,Juice,Grapes,Bread,Oil"
145,Jeffrey Richardson,1/30/2025,"Milk,Toothpaste,Tomatoes"
146,Raymond Walsh,4/15/2025,"Yogurt,Chicken,Onions,Soap,Apples,Flour,Juice"
147,Sara Ponce,9/14/2025,"Coffee,Carrots,Cheese,Beef,Sugar,Juice,Milk"
148,Mr. Kenneth Rodriguez,9/21/2025,"Onions,Tea,Tomatoes"
149,Mr. Jonathan Gonzalez,1/21/2025,"Carrots,Apples,Onions,Bread,Beef,Coffee"
150,Martin Daniel,9/26/2025,"Cereal,Eggs,Tomatoes,Shampoo,Pasta"
151,Julie Davis,10/26/2025,"Chicken,Flour"
152,Michele Castro,10/26/2025,"Potatoes,Pasta,Juice,Onions"
153,Tommy Hawkins,10/27/2025,"Sugar,Milk,Oil,Eggs,Coffee"
154,Lisa Lara,3/28/2025,"Tea,Onions"
155,Haley Mills,9/22/2025,"Potatoes,Toothpaste,Salt,Tomatoes"
156,Brianna Moore,1/2/2025,"Oranges,Butter,Yogurt,Eggs,Fish,Juice,Beef"
157,Terry Thomas,4/22/2025,"Coffee,Salt"
158,Dr. Justin Wilkins,6/26/2025,"Flour,Toothpaste,Coffee,Rice"
159,Dale Grant,2/24/2025,"Butter,Beef,Eggs"
160,Kyle Collins,8/2/2025,"Oil,Bread,Shampoo,Cheese,Salt"
161,Victoria Thompson,9/13/2025,"Toothpaste,Eggs,Cheese"
162,Morgan Lee,6/6/2025,"Bread,Tea,Carrots,Cheese,Juice"
163,George Spencer,6/21/2025,"Cereal,Butter,Yogurt,Salt"
164,Jessica Lowe,8/12/2025,"Cereal,Toothpaste,Butter,Coffee,Tomatoes"
165,Suzanne Smith,10/8/2025,"Bread,Salt"
166,Matthew Davis,2/22/2025,"Shampoo,Salt"
167,Marilyn Castaneda,12/17/2024,"Toothpaste,Soap,Tomatoes,Grapes,Apples"
168,Jacob Miller,3/17/2025,"Apples,Potatoes,Flour"
169,Amy Wilson,5/25/2025,"Grapes,Carrots,Rice"
170,Kristin Hall,6/7/2025,"Yogurt,Butter,Cheese,Eggs"
171,Betty White,2/26/2025,"Tea,Cheese,Beef,Salt,Flour,Bread"
172,Tracy Reed,3/30/2025,"Chicken,Carrots,Sugar,Oil,Rice,Tea,Fish"
173,Joseph Campbell,10/23/2025,"Toothpaste,Tomatoes,Bread,Oranges,Tea"
174,Christopher Ray,9/24/2025,"Carrots,Tea"
175,David Wiley,5/17/2025,"Oranges,Apples,Salt,Shampoo,Eggs,Fish,Rice"
176,Amy Douglas,8/30/2025,"Tea,Oranges,Bananas"
177,Brian Esparza,7/1/2025,"Milk,Soap,Oranges,Tea,Salt"
178,Kathy Warner,4/14/2025,"Eggs,Salt,Pasta,Oil"
179,Anna Edwards,6/26/2025,"Bananas,Butter,Toothpaste,Grapes,Tea,Apples"
180,Carrie Ellis,3/18/2025,"Oranges,Shampoo,Onions,Coffee,Bread,Fish,Potatoes"
181,Eileen Reilly,5/17/2025,"Flour,Grapes,Beef,Chicken,Tomatoes,Fish,Eggs"
182,Michael Garcia,1/28/2025,"Fish,Oranges,Flour,Bananas,Salt,Eggs,Bread"
183,Jessica Garrett,9/21/2025,"Rice,Potatoes"
184,William Brown,5/31/2025,"Potatoes,Fish"
185,Peter Ibarra,5/9/2025,"Cereal,Carrots,Shampoo,Oil"
186,Mary Bell,2/8/2025,"Shampoo,Beef,Eggs,Flour,Potatoes"
187,Jackie Browning,10/24/2025,"Tea,Carrots,Pasta,Salt,Yogurt,Rice"
188,Timothy Thompson,2/6/2025,"Apples,Pasta,Oil,Salt"
189,Sarah Moore,12/15/2024,"Oranges,Oil,Beef,Toothpaste,Grapes,Milk"
190,Karen Johnson,4/7/2025,"Yogurt,Beef,Tomatoes,Carrots,Juice,Chicken"
191,Richard Walker,1/22/2025,"Shampoo,Grapes,Tomatoes,Apples,Milk,Beef"
192,Richard Serrano,11/17/2025,"Toothpaste,Salt,Butter,Carrots"
193,Jennifer Rocha,12/28/2024,"Sugar,Bread,Oranges"
194,Patrick Barnett,1/25/2025,"Toothpaste,Coffee,Grapes"
195,Jonathan Davis,8/15/2025,"Sugar,Chicken,Pasta,Juice"
196,Misty Christensen,5/9/2025,"Flour,Potatoes,Soap,Oranges"
197,Erin Dean,3/5/2025,"Onions,Chicken,Apples,Oranges,Cereal"
198,Laura Anderson,2/5/2025,"Cereal,Shampoo,Salt,Toothpaste,Sugar,Cheese,Bananas"
199,Julia Hines,7/4/2025,"Onions,Coffee,Rice,Shampoo"
200,Aaron Lawson,11/21/2024,"Apples,Salt,Beef,Tomatoes,Pasta"
201,Jean Stone,12/3/2024,"Apples,Coffee"
202,Robert Carter,11/4/2025,"Fish,Flour,Shampoo,Apples,Yogurt"
203,Joseph Aguilar,9/29/2025,"Soap,Salt,Carrots,Fish"
204,Samuel Williams,4/1/2025,"Carrots,Cheese,Tea,Bread,Shampoo"
205,Veronica Thompson,1/30/2025,"Shampoo,Rice,Toothpaste,Tomatoes,Eggs"
206,Priscilla Brown,11/11/2025,"Cheese,Apples,Cereal,Rice,Milk"
207,Kathryn Klein,6/1/2025,"Bananas,Carrots,Onions,Juice,Coffee,Pasta"
208,Ronald Lin,7/2/2025,"Apples,Oil,Oranges,Pasta"
209,Scott Mcconnell,5/20/2025,"Beef,Cereal,Rice,Apples"
210,Jason Sutton,10/26/2025,"Fish,Potatoes,Juice,Pasta,Milk,Rice"
211,Amanda Stark,11/25/2024,"Coffee,Juice,Cheese,Onions,Butter"
212,David Smith,6/22/2025,"Beef,Bread,Cereal,Coffee,Potatoes"
213,Susan Jimenez,3/10/2025,"Sugar,Shampoo,Apples,Coffee,Soap"
214,Lisa Chandler,7/2/2025,"Fish,Oranges,Oil,Rice,Soap,Onions"
215,Wendy Norman,1/23/2025,"Grapes,Beef,Oranges,Juice"
216,Heather Tran,2/16/2025,"Oil,Coffee,Milk,Toothpaste"
217,Christopher Curtis,3/18/2025,"Grapes,Rice"
218,Lisa Jackson,10/25/2025,"Cheese,Potatoes"
219,Frank Rice,1/28/2025,"Chicken,Salt,Flour,Soap"
220,Marco Turner,3/18/2025,"Oranges,Tomatoes"
221,Timothy Klein,3/10/2025,"Tea,Tomatoes,Juice,Yogurt"
222,Scott Mills,6/23/2025,"Grapes,Toothpaste,Bread"
223,Reginald Murray,11/27/2024,"Oil,Cereal,Onions,Potatoes,Milk"
224,Micheal Finley,12/4/2024,"Pasta,Milk,Juice,Rice,Oranges"
225,Aaron Porter,8/14/2025,"Tea,Soap,Grapes,Toothpaste,Fish"
226,John Robles,2/20/2025,"Rice,Soap,Toothpaste"
227,Samuel Pena,9/28/2025,"Onions,Grapes,Juice,Eggs,Sugar"
228,Shelly Robles,3/12/2025,"Cereal,Oil"
229,Ian Chapman,10/15/2025,"Pasta,Rice,Flour,Potatoes,Fish,Tea"
230,Jonathan Reed,1/26/2025,"Chicken,Tea,Cheese,Carrots"
231,Anna Sanchez,5/31/2025,"Eggs,Oranges,Juice,Carrots,Flour,Coffee"
232,Alexis Conley,3/17/2025,"Tomatoes,Apples,Cereal,Yogurt,Carrots,Sugar,Milk"
233,David Foster,8/22/2025,"Sugar,Yogurt"
234,Amy Walker,9/5/2025,"Milk,Potatoes,Shampoo,Yogurt"
235,Michael Ballard,11/1/2025,"Coffee,Onions,Soap"
236,Gary Sims,7/10/2025,"Carrots,Bread,Chicken,Rice,Soap,Juice,Oil"
237,Jason Smith,12/26/2024,"Milk,Shampoo,Flour,Oranges,Cereal"
238,Tracey Bailey,11/23/2024,"Flour,Coffee,Tea,Apples"
239,Jacob Johnson,6/13/2025,"Oranges,Fish,Apples,Coffee,Beef"
240,Michael Lewis,12/10/2024,"Coffee,Sugar,Fish"
241,Brian Boyd,4/18/2025,"Cheese,Toothpaste,Bread"
242,John Becker,8/9/2025,"Coffee,Cereal,Butter,Carrots,Rice"
243,Darin Mitchell,1/9/2025,"Beef,Salt,Pasta,Tomatoes"
244,Sarah Baldwin,7/9/2025,"Coffee,Flour,Bananas,Eggs"
245,Sarah Bailey,8/21/2025,"Oranges,Rice,Chicken"
246,Samuel Kelly,4/6/2025,"Cereal,Yogurt,Bread,Soap,Eggs,Onions,Grapes"
247,Jonathan Vargas,11/18/2025,"Salt,Coffee,Beef,Rice,Sugar,Grapes,Oranges"
248,Jennifer Warren,2/8/2025,"Rice,Coffee,Milk,Beef"
249,Caitlin Flores,7/3/2025,"Pasta,Fish,Beef,Bread"
250,Michael Copeland,4/9/2025,"Potatoes,Onions,Tea,Bananas,Shampoo"
251,Donna Nguyen,4/17/2025,"Bread,Bananas"
252,Tammy Marsh,12/16/2024,"Eggs,Toothpaste,Oil,Chicken,Pasta,Yogurt"
253,Stephanie Fleming,2/6/2025,"Salt,Tea,Coffee"
254,Gwendolyn Kemp,11/21/2024,"Bread,Cheese"
255,Jill Morrison,1/13/2025,"Tomatoes,Grapes,Coffee,Eggs,Cheese,Sugar,Shampoo"
256,Michael Trevino,2/26/2025,"Sugar,Eggs"
257,Natalie Simpson,9/14/2025,"Carrots,Sugar"
258,Jason Watts,9/6/2025,"Yogurt,Milk,Tomatoes,Coffee,Juice,Eggs,Grapes"
259,Thomas Lopez,6/20/2025,"Soap,Yogurt,Salt,Oranges,Carrots"
260,Christine Ryan,3/27/2025,"Grapes,Toothpaste,Tea,Sugar,Eggs,Cereal"
261,Patty York,4/26/2025,"Toothpaste,Juice,Soap,Carrots,Bananas,Rice"
262,Carrie Vazquez,8/14/2025,"Bread,Beef,Yogurt"
263,Stacy Savage,12/15/2024,"Eggs,Toothpaste"
264,Erin Hammond,4/11/2025,"Oranges,Milk,Onions,Chicken,Rice,Pasta"
265,William Howard,1/19/2025,"Milk,Beef,Bread"
266,Jennifer Wagner,2/6/2025,"Milk,Salt,Juice,Butter,Beef,Coffee"
267,Jonathan Taylor,7/30/2025,"Fish,Juice,Sugar"
268,Joseph Roach,3/8/2025,"Bananas,Cheese,Bread,Pasta,Butter"
269,Christopher Barber,1/3/2025,"Cheese,Carrots,Bread,Soap,Cereal,Chicken,Bananas"
270,Timothy Martin,8/29/2025,"Sugar,Tea,Oranges,Bread,Juice"
271,Michael Marsh,11/8/2025,"Potatoes,Bread"
272,Sara Jones,11/25/2024,"Yogurt,Sugar"
273,Joseph Flynn,5/11/2025,"Bananas,Grapes,Pasta,Oil"
274,Michele Roman,11/5/2025,"Coffee,Potatoes,Onions,Flour"
275,Nicholas York,10/26/2025,"Rice,Potatoes,Butter"
276,Rachel Gonzalez,7/31/2025,"Cereal,Fish,Tomatoes,Shampoo"
277,Kimberly Williams,9/11/2025,"Tea,Butter"
278,Kenneth Lopez,8/15/2025,"Sugar,Eggs"
279,Ryan Miller,9/27/2025,"Grapes,Cheese,Flour,Apples,Tomatoes"
280,Aaron Hawkins,10/7/2025,"Carrots,Potatoes,Cereal,Rice"
281,Deborah Lucas,10/21/2025,"Yogurt,Carrots,Grapes,Onions,Butter,Toothpaste"
282,Courtney Russell,6/9/2025,"Grapes,Onions,Yogurt,Coffee,Sugar"
283,David Phillips,8/19/2025,"Eggs,Onions,Bananas,Shampoo,Rice,Cereal"
284,Elizabeth Vazquez,5/28/2025,"Beef,Salt,Pasta"
285,Richard Wallace,8/26/2025,"Beef,Milk,Apples,Toothpaste,Oil,Grapes,Tomatoes"
286,Danielle Williams,8/13/2025,"Onions,Oil,Bread,Shampoo,Yogurt"
287,Brandi Smith,6/17/2025,"Chicken,Tea,Yogurt,Bananas,Apples"
288,Lisa Foster,3/2/2025,"Oranges,Carrots,Rice,Beef,Oil,Cheese"
289,Amy Smith,11/2/2025,"Grapes,Milk,Bread,Carrots"
290,Carrie Edwards,9/13/2025,"Tomatoes,Eggs,Fish,Flour,Shampoo,Milk,Bread"
291,Kendra Johnson,9/15/2025,"Beef,Flour,Tea,Soap,Fish,Carrots"
292,David Henderson,1/28/2025,"Sugar,Bread,Yogurt,Fish,Oil,Bananas,Toothpaste"
293,Cody Galvan,6/17/2025,"Juice,Apples,Coffee,Tomatoes"
294,Danny Smith,1/13/2025,"Tea,Coffee,Fish,Pasta,Carrots"
295,Morgan Black,3/29/2025,"Eggs,Yogurt,Oranges,Soap,Salt,Grapes,Pasta"
296,Hannah Sanchez,12/12/2024,"Fish,Eggs,Salt,Tomatoes,Potatoes,Cereal,Cheese"
297,Adrian Lewis,4/11/2025,"Oranges,Bananas,Chicken,Toothpaste,Oil"
298,Andrew Holloway,3/2/2025,"Toothpaste,Coffee,Tomatoes,Fish,Chicken,Flour,Juice"
299,Kimberly Clay,1/9/2025,"Flour,Milk,Bananas"
300,Erik Stewart,8/25/2025,"Oranges,Pasta,Tomatoes,Rice"
301,Ashley Watkins,9/12/2025,"Toothpaste,Oranges"
302,William Espinoza,2/10/2025,"Soap,Tomatoes,Fish,Beef"
303,Benjamin Fox,7/8/2025,"Rice,Soap,Oil"
304,Dr. John Ochoa,11/6/2025,"Eggs,Tea"
305,Stephanie Rodriguez MD,8/11/2025,"Eggs,Apples"
306,Patricia Kelley,8/25/2025,"Potatoes,Oil,Tea,Eggs"
307,Evan Hayes,12/9/2024,"Tea,Juice,Flour,Soap,Bread,Milk,Tomatoes"
308,Theresa Singh,4/14/2025,"Shampoo,Yogurt"
309,Daniel Perez,10/16/2025,"Oranges,Grapes,Tomatoes,Rice,Milk"
310,Samantha Bailey,5/3/2025,"Potatoes,Fish,Juice,Oranges,Onions,Cheese,Coffee"
311,Maria Hughes,5/4/2025,"Cheese,Coffee,Flour,Toothpaste"
312,Timothy Stafford,7/17/2025,"Chicken,Butter,Shampoo,Bread"
313,Ashley Hunter,7/21/2025,"Sugar,Carrots,Apples,Eggs,Pasta,Toothpaste"
314,Bradley Brown,12/2/2024,"Flour,Yogurt,Onions,Rice,Oranges,Fish"
315,Jessica Boyd,2/16/2025,"Yogurt,Cheese,Milk"
316,Jacob Singleton,10/17/2025,"Salt,Rice,Onions,Tea,Eggs,Yogurt"
317,Sean Salinas,12/17/2024,"Oranges,Potatoes"
318,Michelle Boyd,1/5/2025,"Carrots,Beef,Chicken"
319,Lisa Harris,11/6/2025,"Apples,Toothpaste,Fish,Carrots,Bananas,Milk,Sugar"
320,Kathleen Franklin,5/14/2025,"Soap,Fish,Pasta"
321,Elizabeth Berry,8/31/2025,"Flour,Rice"
322,Megan Wagner,11/11/2025,"Cheese,Bananas,Bread,Sugar"
323,Mrs. Karen Gallegos DDS,7/17/2025,"Tomatoes,Cheese,Rice,Beef,Shampoo"
324,Nathan Frank,11/17/2025,"Potatoes,Fish,Oranges,Sugar,Yogurt,Butter"
325,Jeffery Trevino,11/27/2024,"Milk,Pasta,Butter,Apples,Oranges,Bread"
326,Carrie Garcia,7/7/2025,"Soap,Flour,Bananas"
327,Wayne Watkins,11/28/2024,"Rice,Apples,Bananas,Oranges,Carrots"
328,Kevin Grimes,6/3/2025,"Carrots,Milk,Pasta,Grapes,Tomatoes,Chicken,Yogurt"
329,Randy Bryant,10/4/2025,"Grapes,Coffee,Bananas,Tomatoes"
330,Benjamin Woods,12/6/2024,"Bananas,Cheese,Carrots,Bread,Butter,Apples"
331,Julia Brown,5/24/2025,"Oranges,Rice,Cereal,Bananas,Toothpaste"
332,Alexander Jensen,3/22/2025,"Rice,Salt,Yogurt,Beef,Toothpaste,Carrots"
333,Christian Cordova,10/24/2025,"Grapes,Tea,Pasta,Chicken"
334,Scott Horne,12/19/2024,"Oil,Soap,Tomatoes,Sugar,Apples"
335,Ian Thompson,1/2/2025,"Juice,Fish,Potatoes,Cheese,Eggs,Soap,Tomatoes"
336,Brandon Bass,3/22/2025,"Tomatoes,Tea,Soap,Butter,Potatoes,Chicken"
337,Mackenzie Parker,6/4/2025,"Beef,Oranges,Toothpaste,Pasta,Apples,Carrots"
338,Kristie Ware,10/25/2025,"Bananas,Shampoo,Toothpaste,Potatoes,Chicken,Coffee"
339,Bradley Parker,9/1/2025,"Soap,Pasta,Apples,Cheese,Tea,Sugar"
340,Daniel Joyce,7/14/2025,"Bread,Cheese,Pasta,Beef,Eggs,Sugar,Toothpaste"
341,Cameron Carpenter,1/10/2025,"Shampoo,Coffee,Bread,Salt,Flour,Tomatoes,Tea"
342,Susan Roberts,7/4/2025,"Oil,Bread"
